bucket_label,cashflow_proxy_usd,city,condition_id,event_slug,miss_bucket,notional_usd,outcome,public_playbook,replay_delta_seconds,replay_playbook,replay_size_error_ratio,timestamp_utc,trade_type
74-75°F,-0.376344,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.376344,yes,paired_under_par,,,,2026-03-28T14:30:49+00:00,buy
74-75°F,-0.346236,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.346236,yes,paired_under_par,,,,2026-03-28T14:30:49+00:00,buy
74-75°F,-0.24086,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.24086,yes,paired_under_par,,,,2026-03-28T14:30:51+00:00,buy
74-75°F,-4.6,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,4.6,no,paired_under_par,,,,2026-03-28T14:30:53+00:00,buy
74-75°F,-0.694911,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.694911,yes,paired_under_par,,,,2026-03-28T14:30:53+00:00,buy
74-75°F,-0.376344,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.376344,yes,paired_under_par,,,,2026-03-28T14:30:55+00:00,buy
74-75°F,-0.346236,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.346236,yes,paired_under_par,,,,2026-03-28T14:30:55+00:00,buy
74-75°F,-0.082795,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.082795,yes,paired_under_par,,,,2026-03-28T14:30:55+00:00,buy
74-75°F,-0.24086,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.24086,yes,paired_under_par,,,,2026-03-28T14:30:57+00:00,buy
74-75°F,-4.6,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,4.6,no,paired_under_par,,,,2026-03-28T14:30:57+00:00,buy
74-75°F,-0.376344,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.376344,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.376344,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.376344,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.376344,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.376344,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.346236,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.346236,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.082795,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.082795,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.075268,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.075268,yes,paired_under_par,,,,2026-03-28T14:30:59+00:00,buy
74-75°F,-0.24086,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.24086,yes,paired_under_par,,,,2026-03-28T14:31:01+00:00,buy
74-75°F,-0.075268,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.075268,yes,paired_under_par,,,,2026-03-28T14:31:03+00:00,buy
74-75°F,-0.150537,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.150537,yes,paired_under_par,,,,2026-03-28T14:31:05+00:00,buy
74-75°F,-0.077526,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.077526,yes,paired_under_par,,,,2026-03-28T14:31:09+00:00,buy
74-75°F,-0.165591,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.165591,yes,paired_under_par,,,,2026-03-28T14:31:09+00:00,buy
74-75°F,-1.0304,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,1.0304,no,paired_under_par,,,,2026-03-28T14:31:09+00:00,buy
74-75°F,-0.082795,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.082795,yes,paired_under_par,,,,2026-03-28T14:31:09+00:00,buy
74-75°F,-0.075268,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.075268,yes,paired_under_par,,,,2026-03-28T14:31:11+00:00,buy
74-75°F,-0.097849,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.097849,yes,paired_under_par,,,,2026-03-28T14:31:17+00:00,buy
74-75°F,-0.075268,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.075268,yes,paired_under_par,,,,2026-03-28T14:31:17+00:00,buy
74-75°F,-0.097849,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.097849,yes,paired_under_par,,,,2026-03-28T14:31:25+00:00,buy
74-75°F,-0.097849,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,0.097849,yes,paired_under_par,,,,2026-03-28T14:31:37+00:00,buy
74-75°F,-3.5696,Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,3.5696,no,paired_under_par,,,,2026-03-28T14:31:57+00:00,buy
76-77°F,-5.729071,Dallas,0x6d0d4f92ce29ccae6f9e43ab4a7876cd048496c4f331d3310765df88f2626de9,highest-temperature-in-dallas-on-april-1-2026,missing_quote_pair,5.729071,no,asymmetric_paired_accumulation,,,,2026-03-28T14:32:27+00:00,buy
