bucket_label,candidate_playbook,candidate_rejection_reasons,city,condition_id,covered,event_slug,match_condition_side,match_playbook,match_reason,outcome,price,public_playbook,side,size,timestamp_utc,trade_type
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,no,0.93,paired_under_par,buy,4.96811,2026-03-28T14:30:25+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000930010221,paired_under_par,buy,1.075257,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.0700000430557529,paired_under_par,buy,1.161285,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000001116000433,paired_under_par,buy,5.376342,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.0700000211364208,paired_under_par,buy,2.365585,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000001116000433,paired_under_par,buy,5.376342,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000004227310966,paired_under_par,buy,1.182785,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000004227310966,paired_under_par,buy,1.182785,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000206666782,paired_under_par,buy,19.354828,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000801727241,paired_under_par,buy,2.494614,2026-03-28T14:30:27+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000575852103,paired_under_par,buy,3.473114,2026-03-28T14:30:29+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000808697052,paired_under_par,buy,1.236557,2026-03-28T14:30:29+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.0700000093561386,paired_under_par,buy,5.344085,2026-03-28T14:30:31+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07,paired_under_par,buy,1.0272,2026-03-28T14:30:43+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,yes,0.07000000930010221,paired_under_par,buy,1.075257,2026-03-28T14:30:43+00:00,buy
74-75°F,,[],Dallas,0xb3dc595dae7ba69db03a07bde0fb3fff568c7025feafa5f75eef9bb2a7b9b16e,True,highest-temperature-in-dallas-on-april-1-2026,False,False,missing_quote_pair,no,0.92,paired_under_par,buy,5.0,2026-03-28T14:30:47+00:00,buy
